league,team,h_for,h_against,a_for,a_against,n_home,n_away
d2,magdeburg,2.8909554963586612,2.595416426752596,3.0404390688206187,3.049023112654773,18,17
d2,nurnberg,2.7283621749246403,2.677865388724273,1.774417619674308,3.052181077427904,18,17
d2,paderborn,3.440655487971511,2.44796083757968,2.912095646438862,2.4120399148828144,17,18
d2,preussen munster,2.3239656345897517,2.5981325644149047,1.8544716969971018,2.418862224538954,17,18
d2,regensburg,2.0,0.518557913587051,2.6427264161291717,3.6889752803104257,2,3
d2,saarbrucken,1.0,6.0,4.0,4.0,1,1
d2,schalke,3.5355101050618827,1.8060077297213208,2.1068671732008473,1.946085077774349,18,17
d2,sg dynamo dresden,2.799963522777798,2.325321872359105,2.1739268434778944,2.7213577636446282,15,15
d2,ulm,2.3523786731896212,3.0048949106812066,1.481442086412949,3.555673740761152,3,2
dk1,aalborg,1.6398050343611539,2.707720757383191,2.629588103932091,3.3388863973526033,3,3
dk1,aarhus,4.095304674774769,1.5671469985811157,2.587045831718058,2.260626338029068,16,16
dk1,brondby,2.8369202939151967,2.3467793332056996,2.1161047070708148,3.4634856067390944,17,16
dk1,fc copenhagen,3.572001500957144,1.5508001932496032,3.2107026856305096,2.6335302131745038,16,17
dk1,fredericia,2.793168249046911,2.742804446418786,2.1154149936392,3.74787402199383,13,14
dk1,lyngby,2.685365407834086,1.0339050936410699,2.361705333295476,1.3851062813935182,3,3
dk1,midtjylland,3.000905922920782,2.3200774784582086,2.6677513120476126,2.980835521203586,16,16
dk1,nordsjaelland,3.2671174636354365,2.780675539622864,2.2166263275814564,3.216700999288409,17,16
dk1,odense,3.1530324860712815,1.8464681502573261,1.8469531586775052,2.4834093547999916,14,13
dk1,randers fc,2.2793389896188994,3.1954665276909457,2.3451531854983085,1.81380081236356,17,17
dk1,silkeborg,2.8714301234840707,3.1059071025958316,1.5885186443732169,3.695292044262442,17,17
dk1,sonderjyske,2.0236068828605207,1.8094546386347952,2.3927199300143167,2.5631206201533243,16,17
dk1,vejle,2.4896627881211857,2.494210303726173,2.4346088568751463,3.2336105216831306,17,16
dk1,viborg,1.7595621007154754,2.5763010065952847,2.729159321673984,2.1540137801483876,16,17
e0,arsenal,2.896828016607365,1.370282670679995,2.8342831542794014,1.882946328361582,19,20
e0,aston villa,2.6146697099017153,2.451416581026512,2.9544998202073103,2.295420549301163,20,19
e0,bournemouth,2.174005119496256,1.817174199818263,2.2290023390428946,2.4699513425466546,19,20
e0,brentford,2.113285728012386,2.3609096548831743,1.9144952149247345,2.2285680977114484,20,19
e0,brighton,2.799477038983253,2.406589316062937,1.9615499087698975,2.0285513471372103,19,20
e0,burnley,1.7664120485263577,2.3224097379372433,1.8645530639334025,3.06712848522178,16,17
e0,chelsea,1.916798437443819,2.183501078578745,3.132050329378225,2.2881228739839523,20,19
e0,crystal palace,2.0490924104222628,2.074009790433595,1.6863881813543433,2.7929829605964906,19,18
e0,everton,2.561506579983299,2.1551478814076597,2.0853032765063886,2.2893555943560773,20,19
e0,fulham,2.0558646544494965,2.173783455718438,1.709945524203966,1.971137596552686,19,20
