run_date,match_date,league,home_team,away_team,lambda_home,lambda_away,p_home_win,p_draw,p_away_win,p_raw,market,model_probability,offered_odds,fair_odds,effective_odds,odds_source,implied_probability,edge,variance,variance_class,upset_frequency,recommended
2026-04-05,2026-04-05,D2,holstein kiel,preussen munster,1.8828727229038993,0.9211615832612008,0.5771022993081754,0.2638564133373582,0.1590412873544664,0.8409587126455336,1X,0.7879524337050504,,1.2691121408152464,,missing,,,0.1468048624,LOW-MEDIUM,0.17876,False
2026-04-05,2026-04-05T11:30:00+00:00,D2,holstein kiel,preußen münster,1.8828727229038993,0.9211615832612008,0.5771022993081754,0.2638564133373582,0.1590412873544664,0.8409587126455336,1X,0.7879524337050504,,1.2691121408152464,,missing,,,0.1468048624,LOW-MEDIUM,0.17876,False
2026-04-05,2026-04-05,SP1,oviedo,sevilla,1.6880370568299077,1.0612686021111464,0.5074142891598878,0.26601333864902765,0.22657237219108456,0.7734276278089155,1X,0.7832674524281863,,1.2767031196048386,,missing,,,0.18181634559999998,LOW-MEDIUM,0.23888,False
2026-04-05,2026-04-05,D2,schalke,karlsruher sc,2.262227141562755,1.2438905792521109,0.5829149522981252,0.23197393027998936,0.18511111742188546,0.8148888825781145,1X,0.7686635344302009,,1.3009593342310501,,missing,,,0.15933878999999998,LOW-MEDIUM,0.1989,False
2026-04-05,2026-04-05T11:30:00+00:00,D2,fc schalke 04,karlsruher sc,2.262227141562755,1.2438905792521109,0.5829149522981252,0.23197393027998936,0.18511111742188546,0.8148888825781145,1X,0.7686635344302009,,1.3009593342310501,,missing,,,0.15933878999999998,LOW-MEDIUM,0.1989,False
2026-04-05,2026-04-05,SP1,valencia,celta vigo,1.0850505120898588,1.4061717464053292,0.2772893796408064,0.29320267983094667,0.429507940528247,0.7227106203591936,X2,0.7622843686357537,,1.3118463937410676,,missing,,,0.2058915996,MEDIUM,0.28998,False
2026-04-05,2026-04-05,SP1,alaves,osasuna,1.2016477614896603,1.5272729408108199,0.2867866707546523,0.278291719666688,0.4349216095786597,0.7132133292453477,X2,0.7517652875420029,,1.3302024136677468,,missing,,,0.21035918999999997,MEDIUM,0.3009,False
2026-04-05,2026-04-05,N1,nac breda,sparta rotterdam,1.1908507594567603,1.638885697526033,0.25473906785323763,0.29083647307243016,0.45442445907433227,0.7452609321467625,X2,0.7516570770897337,1.53,1.3303939129686646,1.53,market,0.6535947712418301,0.09806230584790365,0.2000656284,MEDIUM,0.27654,False
2026-04-05,2026-04-05T10:15:00+00:00,N1,go ahead eagles,pec zwolle,1.6742214276034413,1.400026919131345,0.41842805896363544,0.2812608423501164,0.3003110986862481,0.6996889013137518,1X,0.7462994176140789,1.28,1.3399447680088006,1.28,market,0.78125,-0.03495058238592108,0.21831599999999998,MEDIUM,0.322,False
2026-04-05,2026-04-05,N1,g.a. eagles,zwolle,1.6742214276034413,1.400026919131345,0.41842805896363544,0.2812608423501164,0.3003110986862481,0.6996889013137518,1X,0.7462994176140789,,1.3399447680088006,,missing,,,0.21831599999999998,MEDIUM,0.322,False
2026-04-05,2026-04-05,D2,hannover,elversberg,1.324785484302901,0.8667752678350615,0.44747366368571095,0.33342970367574254,0.2190966326385468,0.7809033673614535,1X,0.7449625332437821,,1.3423493872177854,,missing,,,0.18415643999999998,LOW-MEDIUM,0.2434,False
2026-04-05,2026-04-05T11:30:00+00:00,D2,hannover 96,sv elversberg,1.324785484302901,0.8667752678350615,0.44747366368571095,0.33342970367574254,0.2190966326385468,0.7809033673614535,1X,0.7449625332437821,,1.3423493872177854,,missing,,,0.18415643999999998,LOW-MEDIUM,0.2434,False
2026-04-05,2026-04-05,SP2,almeria,leganes,1.672643784358811,1.104646579692425,0.5176712353482477,0.21872849380679688,0.26360027084495524,0.7363997291550446,1X,0.7382326468037206,,1.3545865308580392,,missing,,,0.18861498240000002,MEDIUM,0.25224,False
2026-04-05,2026-04-05,F1,le havre,auxerre,0.5859817601137205,0.4930349272885684,0.31909512594560624,0.42290822711707743,0.2579966469373164,0.7420033530626837,1X,0.732021674742482,,1.366079768542086,,missing,,,0.1839715584,LOW-MEDIUM,0.24304,False
2026-04-05,2026-04-05,RS1,partizan,cukaricki,2.4923246670479995,1.61237727534501,0.5576330965877958,0.20443783859002398,0.2379290648221802,0.7620709351778198,1X,0.7288900468912405,,1.3719490398655594,,missing,,,0.1837761244,LOW-MEDIUM,0.24266,False
2026-04-05,2026-04-05T17:00:00+00:00,RS1,fk partizan,cukaricki,2.4923246670479995,1.61237727534501,0.5576330965877958,0.20443783859002398,0.2379290648221802,0.7620709351778198,1X,0.7288900468912405,,1.3719490398655594,,missing,,,0.1837761244,LOW-MEDIUM,0.24266,False
2026-04-05,2026-04-05,SA1,al riyadh,al shabab,1.089661801577201,1.648336789382345,0.22831283419428783,0.29174667683383443,0.4799404889718777,0.7716871658057121,X2,0.7089344076149637,,1.4105677327247457,,missing,,,0.18917857560000004,MEDIUM,0.25338,False
2026-04-05,2026-04-05,N1,fc volendam,feyenoord,1.1658850654610102,1.3172553833297687,0.30311542805116914,0.32166013753445,0.3752244344143809,0.6968845719488309,X2,0.7012954705311267,1.12,1.425932494962001,1.12,market,0.8928571428571428,-0.19156167232601606,0.2210795964,HIGH,0.32994,False
2026-04-05,2026-04-05,D1,union berlin,st. pauli,0.9957595367208654,0.8256899277607876,0.3716848770542779,0.34896836900779965,0.27934675393792247,0.7206532460620776,1X,0.6979563291358856,,1.4327543977401334,,missing,,,0.20547900000000002,MEDIUM,0.289,False
2026-04-05,2026-04-05T13:30:00+00:00,D1,union berlin,fc st. pauli,0.9957595367208654,0.8256899277607876,0.3716848770542779,0.34896836900779965,0.27934675393792247,0.7206532460620776,1X,0.6979563291358856,,1.4327543977401334,,missing,,,0.20547900000000002,MEDIUM,0.289,False
2026-04-05,2026-04-05,SA1,al okhdood,al fateh,1.4006338131071754,2.080323253538881,0.2397955256984287,0.2486849304296397,0.5115195438719314,0.7602044743015711,X2,0.6979378877783193,,1.432792254885613,,missing,,,0.1900141936,MEDIUM,0.25508,False
2026-04-05,2026-04-05T15:55:00+00:00,SA1,al okhdood,al-fateh,1.4006338131071754,2.080323253538881,0.2397955256984287,0.2486849304296397,0.5115195438719314,0.7602044743015711,X2,0.6979378877783193,,1.432792254885613,,missing,,,0.1900141936,MEDIUM,0.25508,False
2026-04-05,2026-04-05,SP2,andorra,racing santander,1.6970232433221837,1.867839960496391,0.3648062254544267,0.2019183650861785,0.4332754094593947,0.5667245905406052,1X,0.6827728824212006,,1.4646158711720816,,missing,,,0.24420879,HIGH,0.4239,False
2026-04-05,2026-04-05T14:15:00+00:00,SP2,fc andorra,racing santander,1.6970232433221837,1.867839960496391,0.3648062254544267,0.2019183650861785,0.4332754094593947,0.5667245905406052,1X,0.6827728824212006,,1.4646158711720816,,missing,,,0.24420879,HIGH,0.4239,False
2026-04-05,2026-04-05,F1,le havre,auxerre,0.5859817601137205,0.4930349272885684,0.31909512594560624,0.42290822711707743,0.2579966469373164,0.6809048740543938,X2,0.6758644753134524,,1.479586568795793,,missing,,,0.2138315676,MEDIUM,0.30982,False
