run_date,match_date,league,home_team,away_team,lambda_home,lambda_away,p_home_win,p_draw,p_away_win,market,model_probability,offered_odds,fair_odds,effective_odds,odds_source,implied_probability,edge,variance,variance_class,upset_frequency,recommended
2026-02-27,2026-02-28T12:30:00+00:00,E1,leicester,norwich,1.6901497746423277,1.5187253187802363,0.4115770959603786,0.2492965967944849,0.33912630724513665,1X,0.6608736927548635,,1.513148444192842,,missing,,,0.22650524160000002,HIGH,0.34672,False
2026-02-27,2026-02-28T15:00:00+00:00,E1,preston,millwall,1.1425000229328486,1.1329031008353474,0.3495786837811554,0.3055978393725938,0.3448234768462508,1X,0.6551765231537492,,1.5263062162032501,,missing,,,0.22836159,HIGH,0.3529,False
2026-02-27,2026-02-28T15:00:00+00:00,E1,qpr,sheffield utd,1.4744455600937498,1.5771319383814382,0.3490677947772248,0.2573622769186827,0.39356992830409243,X2,0.6509322052227751,,1.5362582953746464,,missing,,,0.22966524000000002,HIGH,0.3574,False
2026-02-27,2026-02-28T15:00:00+00:00,E1,preston,millwall,1.1425000229328486,1.1329031008353474,0.3495786837811554,0.3055978393725938,0.3448234768462508,X2,0.6504213162188446,,1.537464986254439,,missing,,,0.23115420160000003,HIGH,0.36272,False
2026-02-27,2026-02-28T14:30:00+00:00,D1,borussia mönchengladbach,union berlin,1.3023217247948202,1.2988471292844066,0.36110624238528505,0.27941022431372725,0.3594835333009877,1X,0.6405164666990123,,1.5612401116768073,,missing,,,0.23252844760000002,HIGH,0.36782,False
2026-02-27,2026-02-28T14:30:00+00:00,D1,borussia mönchengladbach,union berlin,1.3023217247948202,1.2988471292844066,0.36110624238528505,0.27941022431372725,0.3594835333009877,X2,0.6388937576147149,,1.5652054634771535,,missing,,,0.23320384,HIGH,0.3704,False
2026-02-27,2026-02-28T19:00:00+00:00,SA1,al najma,al okhdood,1.1104107647977044,1.1860501912190466,0.3239410181337913,0.31479814012289326,0.3612608417433157,1X,0.6387391582566846,,1.5655843031908474,,missing,,,0.2349250716,HIGH,0.37722,False
2026-02-27,2026-02-28T13:00:00+00:00,SP1,rayo vallecano,athletic club,1.0530944489928606,0.8991686100730735,0.37573429932498636,0.3298020166566142,0.29446368401839934,X2,0.6242657006750135,,1.6018820174145527,,missing,,,0.2371132096,HIGH,0.38648,False
2026-02-27,2026-02-28T12:30:00+00:00,E1,portsmouth,hull city,1.2626544400945234,1.3846951284190443,0.3320268186361664,0.2794393710463687,0.38853381031746503,1X,0.6114661896825351,,1.6354133995849982,,missing,,,0.2398353276,HIGH,0.39918,False
2026-02-27,2026-02-28T15:00:00+00:00,E1,oxford united,west brom,1.1004120438505358,0.9016393876849363,0.3886974374125413,0.3263872068064431,0.2849153557810156,X2,0.6113025625874587,,1.6358511499891357,,missing,,,0.24014348159999999,HIGH,0.40072,False
