league,team,h_for,h_against,a_for,a_against,n_home,n_away
b2,gent u23,3.0,2.4285714285714284,1.5,2.3333333333333335,7,6
b2,k. lierse s.k.,1.7142857142857142,2.5714285714285716,1.5714285714285714,2.7142857142857144,7,7
b2,kortrijk,4.0,1.6666666666666667,2.8,2.6,6,5
b2,lommel sk,3.142857142857143,2.142857142857143,1.0,3.0,7,5
b2,oc charleroi,2.0,2.0,1.4285714285714286,3.7142857142857144,5,7
b2,patro eisden,1.8333333333333333,1.8333333333333333,1.5,2.0,6,6
b2,rfc liege,3.6666666666666665,2.0,2.5,1.8333333333333333,6,6
b2,rwdm brussels,1.0,2.8,1.4285714285714286,3.2857142857142856,5,7
b2,seraing,1.8,1.8,2.0,1.8571428571428572,5,7
b2,sporting lokeren,3.0,0.8333333333333334,2.1666666666666665,2.5,6,6
d1,augsburg,2.6,2.0,1.8571428571428572,3.4285714285714284,5,7
d1,b. monchengladbach,1.1666666666666667,2.0,1.8333333333333333,2.1666666666666665,6,6
d1,bayer leverkusen,2.6666666666666665,1.3333333333333333,2.142857142857143,2.2857142857142856,6,7
d1,bayern munich,3.5,1.8333333333333333,1.0,2.3333333333333335,6,6
d1,dortmund,3.5,0.8333333333333334,1.5,2.6666666666666665,6,6
d1,eintracht frankfurt,2.5,2.1666666666666665,1.5,3.6666666666666665,6,6
d1,elversberg,0.0,2.0,2.0,2.0,1,1
d1,fc koln,2.3333333333333335,2.3333333333333335,2.6666666666666665,1.3333333333333333,6,6
d1,freiburg,1.8571428571428572,0.8571428571428571,1.0,2.2,7,5
d1,hamburger sv,1.3333333333333333,2.3333333333333335,1.3333333333333333,3.1666666666666665,6,6
d1,heidenheim,1.0,1.7142857142857142,2.142857142857143,1.8571428571428572,7,7
d1,hoffenheim,4.333333333333333,1.0,1.8333333333333333,1.8333333333333333,6,6
d1,mainz,3.6,2.8,2.1666666666666665,2.5,5,6
d1,rb leipzig,2.6666666666666665,1.3333333333333333,1.3333333333333333,2.1666666666666665,6,6
d1,st. pauli,2.5714285714285716,2.2857142857142856,2.0,2.2,7,5
d1,stuttgart,4.5,1.6666666666666667,3.1666666666666665,2.3333333333333335,6,6
d1,union berlin,2.1666666666666665,2.6666666666666665,1.6666666666666667,3.1666666666666665,6,6
d1,werder bremen,2.8333333333333335,1.1666666666666667,1.6666666666666667,3.6666666666666665,6,6
d1,wolfsburg,2.6666666666666665,2.8333333333333335,1.8333333333333333,3.8333333333333335,6,6
d2,arminia bielefeld,3.5,1.1666666666666667,2.4,3.0,6,5
d2,bochum,1.4,1.2,0.8333333333333334,4.333333333333333,5,6
d2,braunschweig,3.1666666666666665,1.1666666666666667,1.75,2.75,6,8
d2,darmstadt,1.8333333333333333,3.1666666666666665,1.1666666666666667,2.8333333333333335,6,6
d2,dusseldorf,3.4,1.8,1.8571428571428572,1.1428571428571428,5,7
d2,elversberg,2.2857142857142856,0.7142857142857143,2.2,2.2,7,5
d2,greuther furth,1.1666666666666667,2.0,1.4,2.0,6,5
d2,hannover,3.857142857142857,2.0,1.2,2.2,7,5
