league,team,h_for,h_against,a_for,a_against,n_home,n_away
sa1,al riyadh,4.083333333333333,5.25,4.1,5.5,12,10
sa1,al shabab,6.0,5.9,5.833333333333333,4.166666666666667,10,12
sa1,al taawon,5.9,4.3,2.8181818181818183,6.0,10,11
sa1,al wehda,4.0,6.0,2.6,4.4,4,5
sa1,damac,4.2,4.9,3.5,5.416666666666667,10,12
sa1,neom sc,4.0,3.7142857142857144,4.0,5.666666666666667,7,6
sp1,alaves,5.578947368421052,4.526315789473684,4.2105263157894735,5.052631578947368,19,19
sp1,ath bilbao,5.2631578947368425,3.5789473684210527,4.526315789473684,4.631578947368421,19,19
sp1,ath madrid,7.555555555555555,3.2777777777777777,5.388888888888889,4.0,18,18
sp1,atl. madrid,0.0,7.0,1.0,1.0,1,1
sp1,barcelona,8.0,3.1578947368421053,6.7368421052631575,4.315789473684211,19,19
sp1,betis,4.277777777777778,4.444444444444445,5.0,6.2,18,20
sp1,celta,5.388888888888889,4.333333333333333,3.4444444444444446,5.222222222222222,18,18
sp1,celta vigo,3.0,0.0,0.0,4.0,1,1
sp1,elche,4.066666666666666,3.4,2.9285714285714284,5.142857142857143,15,14
sp1,espanol,4.5,4.5,4.555555555555555,5.388888888888889,18,18
sp1,espanyol,10.0,6.0,2.0,2.0,1,1
sp1,getafe,3.789473684210526,4.157894736842105,4.684210526315789,4.894736842105263,19,19
sp1,girona,4.777777777777778,4.5,3.4210526315789473,5.7368421052631575,18,19
sp1,las palmas,7.0,4.6,3.25,3.25,5,4
sp1,leganes,3.6,6.6,3.5,6.0,5,4
sp1,levante,4.466666666666667,5.0,2.5714285714285716,7.571428571428571,15,14
sp1,mallorca,3.4444444444444446,5.722222222222222,2.75,8.4,18,20
sp1,osasuna,3.9444444444444446,4.0,3.75,5.15,18,20
sp1,oviedo,4.428571428571429,4.785714285714286,3.1333333333333333,6.6,14,15
sp1,rayo vallecano,3.0,1.0,6.0,1.0,1,1
sp1,real madrid,8.105263157894736,2.8947368421052633,5.578947368421052,4.157894736842105,19,19
sp1,real sociedad,6.0,3.0,1.0,2.0,1,1
sp1,sevilla,4.6,3.7,4.777777777777778,5.166666666666667,20,18
sp1,sociedad,6.764705882352941,4.117647058823529,5.2105263157894735,5.2105263157894735,17,19
sp1,valencia,5.842105263157895,4.105263157894737,3.5789473684210527,5.368421052631579,19,19
sp1,valladolid,4.6,5.4,4.75,4.25,5,4
sp1,vallecano,7.235294117647059,4.352941176470588,4.5,5.833333333333333,17,18
sp1,villarreal,5.095238095238095,4.619047619047619,2.8823529411764706,5.0,21,17
sp2,albacete,5.2727272727272725,4.0,5.363636363636363,4.818181818181818,11,11
