bucket,p_mean,y_mean,count,gap,league,market
0.6-0.7,0.6853381429566161,1.0,2,-0.3146618570433839,SP2,under_3_5
0.7-0.8,0.7399275134667069,0.7404214559386973,1044,-0.0004939424719904162,SP2,under_3_5
0.8-0.9,0.8615781782232587,0.8333333333333334,12,0.02824484488992529,SP2,under_3_5
0.9-1.0,0.9353401066628982,0.6666666666666666,3,0.2686734399962316,SP2,under_3_5
0.8-0.9,0.8788917612262175,0.875,888,0.0038917612262174828,SP2,under_4_5
0.9-1.0,0.91643897926894,0.9364161849710982,173,-0.01997720570215822,SP2,under_4_5
0.6-0.7,0.6460736308801929,0.6456310679611651,618,0.000442562919027778,SW1,under_3_5
0.7-0.8,0.7260777040807489,1.0,1,-0.2739222959192511,SW1,under_3_5
0.7-0.8,0.7973575367827633,0.8888888888888888,18,-0.09153135210612551,SW1,under_4_5
0.8-0.9,0.8130574764722102,0.8103161397670549,601,0.002741336705155306,SW1,under_4_5
0.6-0.7,0.6719711975468176,0.6718954248366014,765,7.577271021619314e-05,TR1,under_3_5
0.7-0.8,0.723362237847169,0.8571428571428571,7,-0.13378061929568807,TR1,under_3_5
0.8-0.9,0.8806555583727848,0.0,1,0.8806555583727848,TR1,under_3_5
0.8-0.9,0.8201810972375922,0.8201811125485123,773,-1.531092008733026e-08,TR1,under_4_5
0.7-0.8,0.7380909803801144,0.7392344497607656,418,-0.0011434693806511298,TR2,under_3_5
0.8-0.9,0.8259237479426943,0.6666666666666666,3,0.15925708127602767,TR2,under_3_5
0.7-0.8,0.7952306432050147,0.5,2,0.2952306432050147,TR2,under_4_5
0.8-0.9,0.8575268021686716,0.8592592592592593,405,-0.001732457090587669,TR2,under_4_5
0.9-1.0,0.9365145090525113,0.9285714285714286,14,0.00794308048108272,TR2,under_4_5
